Table S1. oxLDL-induced differentially expressed genes in macrophages identified by single-cell transcriptomics,,,,,
gene,logFC,logCPM,F,PValue,P_adj
RGS2,-0.596016119,5.466504084,13.12552146,0.00232462,0.024079461
CSF1,1.135427256,2.302367663,13.11620469,0.002330909,0.024120049
GPNMB,0.377361107,9.876716016,13.0994157,0.002342292,0.024188623
ZNRF1,-0.818572758,3.182193912,13.10257446,0.002340146,0.024188623
STK32B,-1.331180555,1.930932199,13.08562704,0.002351688,0.024236469
CGAS,-0.699584961,3.792539825,13.08562289,0.00235169,0.024236469
ITPRIP,0.906792971,3.019018573,13.07899523,0.002356222,0.024256257
AC025164.1,-1.132547621,2.339371334,13.06889113,0.002363149,0.024256257
ARID3A,-0.431405945,5.304820608,13.07159349,0.002361294,0.024256257
RTL8C,0.370414482,6.006229794,13.07567077,0.002358498,0.024256257
ELMO1,-0.51361032,4.895290515,13.05481798,0.002372836,0.024331135
PRPF38B,-0.417516655,6.022870978,13.04748144,0.002377903,0.024358544
EIF4E,0.374012089,5.981263557,13.04246942,0.002381373,0.024369539
NMRK1,-0.527431551,5.102273702,13.02461422,0.002393778,0.024471868
MYO1C,0.475299116,5.119217975,13.00611252,0.00240671,0.024579368
CD48,0.435338593,6.138995885,12.98902021,0.002418727,0.024677321
RPS6KA3,-0.403674924,5.36849643,12.97839867,0.002426229,0.024729056
LMNB1,-0.717077992,3.298347574,12.96733482,0.002434071,0.024784155
MKNK1,-0.38522559,6.879935488,12.95150616,0.002445341,0.024824359
STARD13,-0.595790343,4.017660156,12.95445026,0.00244324,0.024824359
MAP2K1,-0.400674508,5.816806353,12.95218493,0.002444856,0.024824359
S100A6,0.303926401,11.41219502,12.89296714,0.002487537,0.025202415
GPR141,-1.434125441,1.700971305,12.8955486,0.002485659,0.025202415
KLHL24,-0.503686716,5.420357433,12.88648465,0.00249226,0.025210694
SLC39A13,0.517214504,4.316186821,12.88504433,0.002493311,0.025210694
GOLGA4,-0.37788018,5.754155811,12.85614875,0.002514499,0.025399683
BLOC1S2,0.337013716,6.893263648,12.84625218,0.002521802,0.025433377
ADA2,-0.362119512,7.947248492,12.84485546,0.002522835,0.025433377
NOP10,0.312194726,8.498846822,12.8232834,0.002538846,0.025569445
APBB3,-0.849880312,3.014755631,12.80873017,0.002549712,0.025653485
SMAP2,-0.420333343,6.162807492,12.73655598,0.002604388,0.026177702
CEBPD,-0.380320772,5.991533727,12.69874846,0.002633559,0.026444777
PNPLA7,-1.087319342,2.195345919,12.6811854,0.002647236,0.026555897
TNFAIP8L2,-0.361867005,5.840738605,12.66830619,0.002657316,0.0266083
IL4I1,0.600712792,4.467797936,12.66782821,0.002657691,0.0266083
CELSR1,1.463976388,1.541851877,12.65765659,0.002665684,0.026662086
PAN3,-0.736170903,3.610941168,12.654113,0.002668476,0.026663785
SLC12A8,1.608151168,1.682606003,12.64282964,0.002677385,0.026726555
NCF4,-0.324243347,7.74766768,12.62907728,0.00268829,0.0268091
DNAJC19,0.409698725,5.350090917,12.60533969,0.002707231,0.026870975
ITPR2,-0.436164412,5.800797991,12.60899483,0.002704304,0.026870975
RILPL1,1.061489682,2.313910804,12.61577785,0.002698883,0.026870975
RNF166,-0.459796476,5.007937842,12.60217039,0.002709771,0.026870975
LUC7L3,-0.366555566,6.049661978,12.60145568,0.002710344,0.026870975
SEMA6B,0.744283638,4.089702343,12.60857515,0.00270464,0.026870975
FXYD2,0.454863968,4.649626556,12.59800439,0.002713114,0.026872247
STK10,0.410709693,5.386846999,12.59226801,0.002717725,0.026891734
NT5DC1,-0.48101855,4.464493849,12.57982326,0.00272776,0.026964793
IQGAP3,0.853246953,3.377154887,12.55208054,0.002750281,0.027077958
SLC1A4,0.662327056,3.714731604,12.54607989,0.00275518,0.027077958
HSPA9,0.374239942,5.967131183,12.56096985,0.002743042,0.027077958
FAXDC2,-1.029412238,2.846479197,12.55023609,0.002751785,0.027077958
SLC35B2,0.63432002,3.86019411,12.55456499,0.002748255,0.027077958
LAT,0.893364755,3.369545165,12.54898537,0.002752806,0.027077958
DENND10,-0.371627693,6.781131583,12.53483041,0.00276439,0.027142255
PIP4K2A,0.396100037,5.24595469,12.52338256,0.002773799,0.027182162
MT-ND5,0.300255157,10.31920731,12.52458047,0.002772813,0.027182162
RCBTB2,-0.365303624,6.046187976,12.50031479,0.002792869,0.027318521
MYO9B,0.322224416,7.027968061,12.50005419,0.002793085,0.027318521
GBP4,-1.547394448,1.525739443,12.48997268,0.002801467,0.027360462
KCTD7,0.49575166,4.786601918,12.48772415,0.00280334,0.027360462
SHTN1,0.372866286,5.558731395,12.4852024,0.002805443,0.027360462
HLA-DRB5,-0.578000725,5.72391393,12.45471527,0.002831004,0.027530568
CREBL2,-0.409814068,6.180193288,12.45764904,0.002828533,0.027530568
SLC5A3,0.704425213,3.50128325,12.45945758,0.002827011,0.027530568
EAF2,-0.716670002,3.398377384,12.44666225,0.0028378,0.027570299
CCDC107,0.37395371,5.799985988,12.43850483,0.002844703,0.027610992
ATF5,0.429965141,6.603121457,12.43452148,0.002848081,0.027617424
OLMALINC,1.027949889,2.944546193,12.42460185,0.002856512,0.027672799
NABP1,0.359300808,6.648392037,12.41020155,0.002868802,0.027765416
WWC3,-0.710908524,3.74125874,12.39961978,0.002877871,0.027826715
UQCRB,-0.339197412,9.803587787,12.35413056,0.00291723,0.028180497
ATP8B4,-0.427016132,5.565259303,12.29786607,0.002966759,0.028631759
MFSD1,0.309803325,8.613734073,12.22595462,0.003031456,0.029228411
RHBDD2,-0.50570455,4.577556463,12.20547591,0.003050172,0.029381015
LGI2,0.391275744,5.331513757,12.19888179,0.003056227,0.029411482
CUEDC2,0.442677045,5.050910756,12.18334112,0.003070549,0.029521386
HM13,0.367406175,6.983495263,12.17088821,0.003082081,0.029604275
IFI44L,-1.803705939,2.04992761,12.16438548,0.003088122,0.029606389
AHR,-0.37914395,5.669149442,12.16489283,0.00308765,0.029606389
TMEM39B,-0.806859122,3.347202009,12.15239489,0.003099297,0.029685546
PER3,-0.455085015,4.976782327,12.14590918,0.003105361,0.029715643
FOXN3,-0.364264856,5.922219816,12.13679355,0.003113906,0.029769407
TRPM2,-0.432876553,5.503292144,12.0842408,0.003163693,0.030216977
DYSF,1.505333401,1.385989414,12.04936897,0.003197227,0.030480033
CYCS,0.456704074,6.771092799,12.05159382,0.003195076,0.030480033
HIST1H4C,-0.555794936,6.831491163,12.03865257,0.003207614,0.030503895
RBM17,-0.383979822,5.589090017,12.03750645,0.003208727,0.030503895
MAFF,1.509423871,2.073646122,12.03944556,0.003206844,0.030503895
NPM3,0.533887423,4.242716129,12.0243339,0.003221551,0.030597214
TMEM160,-0.644849855,4.9925745,12.01885019,0.003226907,0.030619493
ZFP36,-0.434271335,6.576149781,12.01245307,0.003233168,0.030650309
BDH2,-0.63162958,4.275632278,12.00680743,0.003238704,0.030652709
PPM1D,-0.714678295,3.358554,12.00298303,0.003242461,0.030652709
ATP6AP1,0.342622413,7.400503963,12.0030663,0.003242379,0.030652709
MYC,0.793762804,4.624717976,11.99705457,0.003248295,0.030679342
C5orf30,-0.797965244,3.11215957,11.98217131,0.003262992,0.030789564
CNTRL,-0.521527014,4.307345573,11.95876811,0.003286255,0.030980337
NEK7,-0.396081347,5.379712783,11.93455083,0.003310525,0.031180245
C9orf16,0.329646336,8.002815437,11.92721283,0.00331792,0.03122098
UFM1,0.352267007,6.078784637,11.9221965,0.003322985,0.031239747
XRCC6,0.379123082,6.280323983,11.91165345,0.003333661,0.031311168
NISCH,-0.335518709,6.814576069,11.86840691,0.003377858,0.031697022
MYH9,0.335738938,6.776049223,11.86531261,0.003381046,0.031697693
LRPAP1,0.443909204,6.29382653,11.8611422,0.003385347,0.031708798
SLFN11,-0.480957075,5.291039345,11.85485679,0.003391843,0.031740407
PCBP2,-0.301901017,8.36446721,11.83868777,0.003408616,0.031868053
CCND2,1.326340631,2.344117526,11.82952,0.003418168,0.031898723
CSRP2,2.102337251,0.892709699,11.8305475,0.003417096,0.031898723
MANF,0.376519777,5.77689906,11.82540193,0.003422469,0.031909582
ATF3,0.880749982,3.157418055,11.81209528,0.003436408,0.0320102
CSRP1,0.392841267,5.805065667,11.78816733,0.003461634,0.032211594
ARPC1B,-0.269492024,10.0784661,11.78415077,0.00346589,0.032211594
CCL7,1.269623634,3.778539417,11.78260566,0.003467528,0.032211594
LINC02201,1.435605708,1.861570422,11.73700954,0.003516277,0.032634646
FCGBP,-0.487949728,7.564431681,11.71391434,0.003541266,0.032836605
NACC1,0.431827278,4.691051558,11.7036057,0.003552485,0.032910632
HSPA5,0.3944279,7.133012231,11.66548449,0.003594323,0.03326793
DCAF13,0.621660663,3.846367579,11.65382071,0.003607236,0.033357093
IRGQ,0.541452568,4.366116348,11.64913802,0.003612435,0.033374828
PARP8,-0.448409385,4.786687496,11.64414871,0.003617983,0.033395759
ZNF266,-0.739177759,3.22334088,11.64109446,0.003621385,0.033396851
PDCL3,0.578237741,4.067886957,11.63415942,0.003629122,0.033429468
CBFA2T3,-1.499876645,1.859093994,11.63203579,0.003631495,0.033429468
TPRA1,0.393133927,5.816925802,11.6285018,0.003635447,0.033435596
SPG21,-0.317644729,7.681674436,11.613081,0.003652752,0.033564406
LAMB2,0.58965076,3.938257322,11.59579519,0.003672262,0.033713218
MAPKAP1,0.370620558,5.590276205,11.59144536,0.00367719,0.033728019
DDIT4L,1.067176589,2.416932712,11.58357962,0.00368612,0.03377947
DEF6,-0.445273112,4.58891581,11.57640429,0.003694288,0.033823848
PRXL2B,0.459868989,4.372820215,11.56853568,0.003703268,0.033845144
NCAPD2,-0.734566603,4.046529133,11.57089574,0.003700572,0.033845144
CCR5,0.795021226,2.936653017,11.56418477,0.003708245,0.033860203
SERINC2,0.518835999,4.474809278,11.55722935,0.003716216,0.033902555
IL2RG,-0.460207953,4.720397053,11.55290674,0.00372118,0.033917418
ECHDC1,0.421508667,4.98863802,11.54906953,0.003725592,0.033927237
GFOD1,0.697202286,3.29233102,11.53940373,0.003736734,0.03399826
MRPS6,0.493913879,5.054735988,11.5179039,0.003761652,0.034194389
NEURL2,1.822939872,1.693106499,11.51440845,0.003765721,0.034200814
PTK2B,0.363399932,5.621312485,11.51126667,0.003769382,0.034203529
CLIC2,-0.551127703,4.085790596,11.48494631,0.003800216,0.034452584
CYB5A,0.36954334,5.865882838,11.47429572,0.003812774,0.034535656
GFER,-0.630193925,3.632712419,11.47103977,0.003816623,0.034539759
CAMSAP1,0.717692267,3.35663508,11.46015716,0.003829518,0.034594903
PDIA3,0.306623702,7.401995815,11.46199377,0.003827339,0.034594903
PRKCD,-0.414525321,5.17843997,11.45195901,0.003839265,0.03465218
TUBB4B,0.379578804,6.479233695,11.43271948,0.003862251,0.034794783
AC007952.4,-1.019143452,2.455000193,11.43121945,0.003864049,0.034794783
SIGLEC11,-1.482379103,1.805435535,11.4301543,0.003865327,0.034794783
SPNS1,0.363451625,5.591495997,11.39924378,0.003902617,0.035099397
WSB1,-0.382927939,7.073020397,11.3867279,0.003917832,0.035205109
TMSB10,0.237055165,12.52403029,11.38276734,0.00392266,0.035217388
NLRP1,-0.878668772,2.70608355,11.3565798,0.003954758,0.035474253
TBC1D8,1.147510721,2.009446885,11.34060959,0.003974479,0.035619739
BCL6,0.526509303,4.448469206,11.33343321,0.003983378,0.03563669
ATM,-0.342956432,5.822202161,11.3345337,0.003982012,0.03563669
NCOA4,-0.311164279,7.368267156,11.31228131,0.004009736,0.035823845
BANP,0.729169708,3.419179703,11.31099857,0.004011341,0.035823845
REL,-0.562931571,3.893903624,11.30502724,0.004018821,0.035859167
GALNT1,-0.369166983,6.351852441,11.30162004,0.004023097,0.035865854
TAF12,-0.437066429,5.172957352,11.28462285,0.004044502,0.036025109
SLIRP,0.303238058,7.683975381,11.27859768,0.004052121,0.036061394
RPP30,0.45189499,4.574685917,11.25773359,0.00407863,0.036216944
MAP3K3,-0.443230234,5.14549486,11.25643892,0.004080281,0.036216944
MFNG,-0.507905686,4.564018271,11.25800569,0.004078283,0.036216944
ARID5B,0.541258675,3.999900605,11.24559216,0.004094146,0.036308331
RUBCN,-0.594116501,4.115307475,11.23932471,0.004102182,0.036347908
CSTA,-0.362417889,7.767795786,11.23319346,0.004110061,0.036366529
NUPR1,0.393374304,6.369754607,11.23212623,0.004111434,0.036366529
MBTPS1,0.429245117,4.601529974,11.22918088,0.004115227,0.036368449
DRAP1,0.346980707,6.696153986,11.22094198,0.004125856,0.03641083
BTG1,-0.345888186,6.671351929,11.21991639,0.004127181,0.03641083
TMEM123,-0.309367399,7.940438428,11.21351443,0.004135465,0.036452297
ADD3,-0.566134583,3.840013049,11.20945601,0.004140726,0.036467072
FLNB,1.198610897,1.781993596,11.20603778,0.004145164,0.036474571
ABCD1,0.564166211,4.351285409,11.20286656,0.004149285,0.03647928
GCA,-0.361079944,5.668553058,11.18509754,0.004172464,0.036588195
ANXA1,0.38659807,7.84705329,11.18564912,0.004171743,0.036588195
HTATIP2,0.346256798,5.976732427,11.18997475,0.004166087,0.036588195
NRBP1,0.344768637,6.000549632,11.1814459,0.004177246,0.036589278
RILPL2,0.36239299,5.437003388,11.17951122,0.004179782,0.036589278
HLA-DRB1,-0.322943529,8.873811921,11.17300774,0.004188319,0.036632487
ERBIN,-0.343195122,6.138856628,11.16326414,0.004201147,0.036681603
GIGYF1,-0.479180564,4.396386314,11.1635072,0.004200826,0.036681603
NUDT16,-0.411352421,5.278676478,11.13826371,0.004234266,0.036939064
PSMB5,0.424849522,6.015628625,11.1321302,0.004242436,0.036978627
ATP5MC1,0.398798881,6.439438288,11.12404188,0.004253238,0.037041039
PAN2,-0.892780878,2.606575683,11.0963409,0.004290469,0.037301411
USP12,0.459730311,4.420225344,11.09643402,0.004290343,0.037301411
TTC3,-0.328803547,6.484093012,11.09020871,0.004298761,0.037341585
ENPP2,-1.715168994,1.292891965,11.0784036,0.004314775,0.037448711
ANKRD13D,-0.356148366,5.633253703,11.04820833,0.004356045,0.037774669
CLK3,-0.524167426,3.949780934,11.04479449,0.004360739,0.037783165
TBC1D13,-0.482089562,4.455821238,11.04043252,0.004366745,0.037803004
ZCCHC3,-0.57555594,3.897426795,11.02652543,0.004385957,0.037937034
IFITM2,-0.432499981,6.007912049,11.01516792,0.004401718,0.038041013
NLRC4,0.766283969,3.222137976,10.99860352,0.00442482,0.038138472
H2AFV,-0.321784858,7.147480531,11.00013638,0.004422676,0.038138472
RASGRP4,-0.490326018,4.288496619,11.00202873,0.004420031,0.038138472
BLOC1S3,-0.767023855,3.037099689,10.9963366,0.004427992,0.038138472
NEDD8,0.322142795,8.204838247,10.98826426,0.00443931,0.038203601
LRRC59,0.412759334,5.385378596,10.98218831,0.00444785,0.03824474
HLA-DMB,-0.330883483,6.983362412,10.96809753,0.004467727,0.03838321
LILRB5,-0.338808887,6.694931856,10.955052,0.00448622,0.038509561
SCN1B,-0.451954534,4.910966548,10.95183432,0.004490795,0.038516326
EIF4A2,-0.427842075,6.948926974,10.94201779,0.004504784,0.038603757
LINC00884,1.648226584,1.50887974,10.92520285,0.004528861,0.03877742
AP002387.2,-1.085864384,2.588258012,10.92184742,0.004533683,0.03878606
S100A10,0.26918841,9.968623314,10.89276641,0.004575721,0.0390801
RNF130,-0.293765759,8.413730907,10.89275517,0.004575737,0.0390801
BCL3,-0.629297296,4.435777113,10.86032371,0.004623141,0.03945184
BSCL2,0.333948797,5.937005895,10.84203092,0.004650125,0.039615639
MRPL52,0.306825906,6.853851228,10.84368056,0.004647684,0.039615639
TCEAL9,0.329899252,6.338255496,10.827402,0.004671833,0.03976727
ETHE1,-0.375034094,5.901039249,10.82080018,0.004681667,0.03981766
SIT1,0.976655716,2.345945652,10.81087555,0.004696496,0.039910404
FDX1,0.387978316,5.254797148,10.79513281,0.004720126,0.040077732
MRPL36,0.397432698,5.112836282,10.7833602,0.004737886,0.040194973
HP1BP3,-0.338224352,6.288322051,10.77625417,0.004748642,0.040207467
ATP6V1B2,0.287020873,7.964251521,10.77455601,0.004751217,0.040207467
DTNA,0.618364636,3.633598849,10.77500595,0.004750534,0.040207467
UBE2E3,-0.371694973,5.50648704,10.76955231,0.004758812,0.040238268
TUBGCP2,0.341869866,5.630980235,10.76125321,0.00477144,0.040311537
NCAPH,0.85524054,3.763877362,10.75551508,0.004780194,0.040329692
CLDN23,1.568576152,1.877352442,10.75464764,0.004781519,0.040329692
UMPS,0.754794365,3.363063016,10.74649331,0.004793994,0.040386269
GIMAP6,-0.521599309,4.459652192,10.74507495,0.004796167,0.040386269
MPHOSPH8,-0.351785648,5.462631824,10.73324065,0.004814347,0.040505822
NUDT9,0.554639214,3.749783844,10.72621332,0.004825179,0.040529914
NRIP1,-0.41806269,5.433950561,10.72862268,0.004821462,0.040529914
LINC02432,-1.50704653,2.082747495,10.71959662,0.004835404,0.040582287
CDT1,-0.943158496,2.404283948,10.70965291,0.004850816,0.040678075
IFIT1,-0.630616033,3.997161272,10.7017413,0.004863119,0.040747649
TBC1D9,-0.406216064,4.890467591,10.6974783,0.004869763,0.040769732
CNOT8,-0.383071318,5.337271786,10.67969486,0.004897588,0.040968971
PPARD,-0.876138723,2.791080356,10.65129897,0.004942395,0.041309811
PPP3CA,-0.364217633,5.676474245,10.64190324,0.004957323,0.041348063
CMKLR1,-0.332893709,6.080607556,10.6456691,0.004951334,0.041348063
DDX24,-0.368301785,5.987730275,10.64074542,0.004959166,0.041348063
MAN1A2,-0.386579,5.024480345,10.6198133,0.004992622,0.041592917
FOS,-0.343282411,8.183525204,10.61106554,0.00500668,0.041675896
CCDC167,0.378346042,5.216037214,10.58885425,0.005042575,0.041940373
SEC61A1,0.345635506,5.846169665,10.56853638,0.005075667,0.042146684
PTBP3,-0.345339953,7.005947999,10.56964127,0.005073861,0.042146684
GAL,1.971132164,2.837166242,10.78623112,0.005091352,0.042242437
RRN3,0.712111563,3.294050532,10.55408928,0.005099348,0.042274299
AL158212.3,1.245747618,1.625864472,10.54707729,0.005110886,0.042335452
CUL4B,-0.474176947,4.535084462,10.54015951,0.005122299,0.042395464
UBAP1,0.463138626,4.599372529,10.53238797,0.005135155,0.042423235
CORO7,0.42340914,5.366314868,10.53057074,0.005138166,0.042423235
PIM3,0.506296877,4.319724327,10.5352928,0.005130345,0.042423235
NAA50,0.32608921,6.064978606,10.51107147,0.005170605,0.042656445
POU2F1,-0.471093914,4.236051901,10.50508146,0.005180617,0.042704405
MPHOSPH6,0.479685822,5.021276166,10.48120967,0.005220736,0.042991789
CCL5,0.458714293,4.553890107,10.47822083,0.005225783,0.042991789
APOL6,-0.452289292,5.05977865,10.47681482,0.00522816,0.042991789
IQGAP1,0.314268216,8.212344603,10.47230433,0.005235792,0.043019772
PLK3,0.767022213,2.934583233,10.4635949,0.005250565,0.043106335
VAPB,0.629875146,3.666522657,10.44759477,0.005277828,0.043295219
LMO4,-0.34869642,6.157730482,10.40319363,0.005354332,0.043852065
PRKAG2-AS1,1.056190613,2.165589064,10.40405857,0.00535283,0.043852065
CLCN6,-0.680089758,3.727789591,10.3975447,0.005364155,0.043897173
TIPARP,-0.676801383,3.72758993,10.36982781,0.005412651,0.044200849
ARSB,0.443172371,4.828584622,10.36889047,0.0054143,0.044200849
CLEC2D,-0.612006854,4.22068361,10.36998361,0.005412377,0.044200849
TMEM184B,0.586947465,3.829552163,10.35605731,0.00543693,0.044350005
SKI,-0.493826161,4.582523871,10.31925768,0.005502423,0.044812209
NGRN,0.37001008,5.46305227,10.31904706,0.0055028,0.044812209
SCML1,-0.671424386,3.838019934,10.31681091,0.005506809,0.044812209
NIBAN1,0.847703846,3.186234188,10.29793717,0.005540777,0.045052585
CTNNBL1,0.40461422,4.795068608,10.29430705,0.005547338,0.045069903
FBXO8,-0.507383437,4.051711653,10.28688821,0.005560773,0.045143002
C1orf43,0.300782818,6.945815528,10.28345552,0.005567002,0.04515753
SLC46A3,-0.492262326,4.621605563,10.27902078,0.005575061,0.045186869
KDM3A,-0.648545982,4.028023714,10.27506623,0.005582259,0.045209183
PRDM2,0.427792723,4.477459485,10.26550801,0.005599699,0.045242366
CEP170,0.360171592,5.338366796,10.26624158,0.005598358,0.045242366
LAP3,-0.324431613,5.953334751,10.26823617,0.005594715,0.045242366
ZFHX3,-0.379231971,6.312195053,10.256043,0.00561703,0.045346376
METRNL,0.398595099,6.380710265,10.24237167,0.005642172,0.045513222
SRD5A3,-0.419704852,5.404980444,10.23959063,0.005647302,0.045518506
CDC40,-0.433469816,4.452003151,10.236912,0.005652248,0.045522301
DYRK1B,-0.588609318,3.594037437,10.21714103,0.005688907,0.045781302
RASSF4,-0.309421506,6.424300137,10.21178398,0.005698887,0.045825358
NAGK,0.362774973,7.623103094,10.19478703,0.005730682,0.046013011
TPCN1,-0.363130131,5.624034318,10.19447354,0.005731271,0.046013011
DPYD,-0.342590961,5.621739695,10.18381291,0.005751318,0.046104226
TFPI,0.869837905,3.700075546,10.1836118,0.005751697,0.046104226
NPHP3,-0.563375804,4.024198116,10.17674587,0.005764652,0.046135357
C7orf50,0.372984064,5.909459098,10.1784643,0.005761406,0.046135357
TPGS1,-0.755378326,3.118444033,10.14892275,0.005817489,0.046521621
LINC00623,0.493009361,4.066808523,10.14631172,0.005822476,0.046524923
RNF34,0.507184316,4.233726708,10.12610915,0.005861225,0.046797784
ETF1,0.352128564,5.629743936,10.12275995,0.005867677,0.046812555
ALG13,-0.406872564,4.597925526,10.11481151,0.005883021,0.046898192
KLC2,1.295163004,1.902728933,10.11059461,0.005891181,0.04692646
MAN1A1,0.42437525,4.915798766,10.09596585,0.005919586,0.047115828
CENPA,-1.118493349,2.311687242,10.09173522,0.00592783,0.047134715
HELLS,-0.789091056,3.060211211,10.08999397,0.005931226,0.047134715
LINC01094,0.393494208,5.313182948,10.07364853,0.005963221,0.047351977
MSC,1.019521145,3.094841602,10.07031896,0.005969762,0.047366943
AKAP6,0.949762595,2.734585722,10.06747339,0.005975359,0.047374397
RMDN3,0.462028979,4.737396899,10.05158382,0.006006722,0.047511955
AC092868.2,1.081629628,1.922257471,10.05176077,0.006006371,0.047511955
SLC66A2,-0.369805074,5.459743442,10.05499684,0.005999969,0.047511955
MBNL2,-0.523498246,4.204902519,10.04792612,0.006013968,0.047532308
CACUL1,-0.320039474,5.935113816,10.04303549,0.006023672,0.047572041
SHMT1,-0.770824352,3.405995509,10.03935864,0.006030979,0.047592801
ID1,1.247318155,1.974433021,10.03320741,0.006043227,0.047652482
PHIP,-0.353650074,5.468505338,10.02882156,0.006051976,0.047674718
ZFPL1,0.466982921,4.177141893,10.02420517,0.006061202,0.047674718
ZCCHC14,0.726169853,2.965783441,10.02354525,0.006062522,0.047674718
AC129507.1,-1.01346378,2.148714072,10.02240965,0.006064794,0.047674718
SDHAF2,0.37629569,5.218764095,9.99946033,0.006110924,0.04800025
AL096870.8,0.402625002,4.745268355,9.982265419,0.006145749,0.048236546
ESYT2,0.571579979,4.128797082,9.977999229,0.006154425,0.048238185
ZNF419,-1.044193731,2.057432376,9.977498998,0.006155443,0.048238185
ALG14,0.71938152,2.937714156,9.963884255,0.006183227,0.048357845
RGL2,-0.488087123,4.830618555,9.963030347,0.006184974,0.048357845
PLXNA3,0.557209052,3.93976885,9.963672178,0.006183661,0.048357845
CHD1,-0.485171537,3.972287427,9.951287706,0.00620906,0.048508876
TRIM14,-0.476869562,4.408772279,9.947596539,0.006216653,0.048530924
MELTF-AS1,2.13642191,0.565409123,9.93556023,0.006241486,0.048687423
TMED9,0.296181237,7.15429765,9.924993473,0.006263381,0.048820774
SP110,-0.451574307,4.547921196,9.914280595,0.006285667,0.048882116
NR1D2,-0.364688509,5.178243685,9.914965491,0.00628424,0.048882116
VSIR,-0.393767323,5.748837684,9.914997598,0.006284173,0.048882116
CERS6,-0.372100927,5.090555293,9.878751811,0.006360227,0.049424166
EPN2,1.374415193,1.574414129,9.863373486,0.006392812,0.049639451
ARMC9,-0.468223948,4.2545874,9.829189124,0.006465925,0.050092455
ARHGEF3,-0.736050193,3.210749067,9.831262941,0.006461463,0.050092455
TPI1,0.285990897,8.069430436,9.831965481,0.006459952,0.050092455
ELOF1,0.379646386,4.990219377,9.819391497,0.006487056,0.050217907
CALU,0.311543697,6.831471246,9.810050027,0.006507275,0.050336125
CHIT1,1.092769521,6.568325919,10.0006686,0.00652599,0.05036599
SYT1,-0.728624903,3.29063954,9.802485104,0.006523702,0.05036599
MIA2,-0.436228061,4.403435848,9.80350083,0.006521494,0.05036599
ATPAF1,-0.501996943,3.953144846,9.782889484,0.006566473,0.050631247
AK4,1.707761054,1.173777879,9.781136189,0.006570315,0.050631247
MYEOV,1.540865621,1.099913434,9.775335531,0.006583046,0.050690946
LPAR6,-0.302856442,6.872858735,9.764317127,0.006607305,0.050806002
MVP,0.377831467,5.761801269,9.764012463,0.006607977,0.050806002
PARP12,0.455526604,4.655148988,9.758210759,0.006620793,0.05086609
ARRDC4,-0.666334351,3.754930477,9.748359013,0.00664262,0.050984137
RAB11B,-0.312779369,6.238351238,9.746754597,0.006646182,0.050984137
SNRPN,-0.378397331,5.811539451,9.734730882,0.006672949,0.051150894
C12orf76,0.494688507,4.399059588,9.723109145,0.006698937,0.051272829
PBDC1,0.395070111,5.152389707,9.723307622,0.006698492,0.051272829
SLC20A1,0.508853871,4.92337127,9.713507905,0.006720494,0.051360531
GNA12,0.405022241,5.156171736,9.715125363,0.006716857,0.051360531
PLIN3,0.30578069,6.117513653,9.70997127,0.006728455,0.051382764
KDSR,-0.342589717,5.431020081,9.694063456,0.006764394,0.051618465
ARHGAP17,-0.391820469,5.240992014,9.685418966,0.006784015,0.051729386
SLC16A10,0.696648458,4.656914962,9.680922269,0.006794247,0.051768601
MT-CO2,0.233864025,13.04124166,9.668258772,0.006823157,0.051949968
ZNF700,-0.775519144,2.682602513,9.66514668,0.006830284,0.051965329
PSMA7,0.283219978,8.372832868,9.66076602,0.006840329,0.051968381
SSR4,-0.277826391,7.883356656,9.66051602,0.006840903,0.051968381
SEL1L,0.352661977,5.086899083,9.65555152,0.006852308,0.05197739
TIMP1,-0.368631965,7.770861311,9.656933215,0.006849132,0.05197739
BARD1,-0.61377635,3.367437907,9.652046348,0.006860374,0.05199031
DERL1,0.347932172,5.314821377,9.650370723,0.006864234,0.05199031
SH3RF1,-0.697097509,3.449540786,9.646522734,0.006873107,0.052018781
ANXA4,0.307172445,7.323972685,9.614524868,0.006947397,0.052541946
MIR4435-2HG,1.018370969,3.520512878,9.6118426,0.006953665,0.052550285
WIPF1,0.292621036,7.152475548,9.604998773,0.00696969,0.052559807
CAMLG,-0.37923726,5.505972505,9.604684419,0.006970427,0.052559807
YWHAE,0.280309332,7.920950216,9.605962425,0.006967431,0.052559807
NDRG2,0.992413107,2.375064626,9.59406557,0.006995376,0.052708862
SP100,-0.337738937,5.792187452,9.574998382,0.00704043,0.052952429
ALAS1,0.509500812,3.984617372,9.574819867,0.007040854,0.052952429
NAPRT,-0.387415342,5.029741706,9.573780802,0.007043319,0.052952429
SLC25A38,-0.774018726,2.986536673,9.559447939,0.007077419,0.053051961
PPP1R18,-0.277394616,7.491290204,9.560569252,0.007074745,0.053051961
SAMSN1,-0.312774144,7.229214757,9.560686965,0.007074464,0.053051961
WAS,-0.319210447,6.10635966,9.560785259,0.00707423,0.053051961
ZNF354A,-0.930089905,2.405454313,9.541789991,0.00711969,0.053286081
ZMIZ1,0.377126687,5.574516108,9.540452596,0.007122903,0.053286081
CAMKK2,0.478187559,3.973322386,9.539843225,0.007124368,0.053286081
COX6A1,0.296896093,7.742973382,9.528167212,0.007152497,0.053457167
SPSB1,1.669260382,1.005338798,9.524238964,0.00716199,0.05348881
KCNMA1,0.663888591,4.521707963,9.50519658,0.007208207,0.053794487
